# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	6297
#@/user_id	0f69583d-8a17-42ac-93db-e15cc74941e5
A T I H 	ATIH	c=1 d=1 t=5318
hua chu 	画出	c=2 d=1.00024 t=3269
hua chu lai 	画出来	c=1 d=1 t=6245
hua tu 	画图	c=1 d=1 t=6244
hua xian wei yi 	化险为夷	c=1 d=1 t=401
hua yi ge 	画一个	c=1 d=1 t=6236
huan 	换	c=4 d=1.00002 t=5509
huan cun 	缓存	c=5 d=2.63288 t=1102
huan hang 	换行	c=2 d=1.99005 t=1677
huan jing 	环境	c=21 d=1.03173 t=3925
huang 	黄	c=12 d=5.79082 t=1266
huang jin 	黄金	c=2 d=1.99501 t=6257
huang se 	黄色	c=1 d=1 t=3648
hui 	会	c=14 d=1.7343 t=5666
hui chu 	会出	c=1 d=1 t=1683
hui diao 	回调	c=1 d=1 t=4885
hui fu 	回复	c=3 d=1.97059 t=4093
hui fu 	恢复	c=2 d=1.99501 t=139
hui guo 	回国	c=1 d=1 t=1418
hui lai 	回来	c=1 d=1 t=250
hui qu 	回去	c=1 d=1 t=855
hui se 	灰色	c=2 d=1 t=4983
hui tui 	回退	c=2 d=1.00053 t=1852
hui wen shu 	回文数	c=1 d=1 t=6101
hui you 	会有	c=1 d=1 t=2792
hui zao cheng 	会造成	c=1 d=1 t=2946
hui zhi 	绘制	c=2 d=1.97531 t=3386
hui zong 	汇总	c=2 d=1.08673 t=6131
hun luan 	混乱	c=1 d=1 t=2948
huo qu 	获取	c=10 d=5.64875 t=2598
huo zhe 	或者	c=4 d=1.20231 t=4290
ji 	及	c=1 d=0.882497 t=6297
ji ben 	基本	c=1 d=1 t=3180
ji bian 	几遍	c=1 d=1 t=759
ji chang 	机场	c=1 d=1 t=1479
ji fen 	积分	c=3 d=1.58865 t=6287
ji ge 	几个	c=4 d=2.70856 t=3683
ji gou 	机构	c=1 d=1 t=5019
ji ke 	即可	c=1 d=1 t=5491
ji lu 	记录	c=1 d=1 t=5056
ji qi 	及其	c=1 d=1 t=6153
ji shi 	计时	c=1 d=1 t=141
ji suan 	计算	c=3 d=1.91393 t=5445
ji xing 	记性	c=1 d=1 t=259
ji xu 	积蓄	c=1 d=1 t=5821
ji zhi 	机制	c=2 d=1.94649 t=807
jia 	加	c=6 d=1.01006 t=5137
jia duo 	加多	c=1 d=1 t=2712
jia gou 	架构	c=1 d=1 t=2771
jia le 	加了	c=4 d=1.92312 t=4620
jia li ren 	家里人	c=1 d=1 t=4722
jia shang 	加上	c=1 d=1 t=318
jia zai 	加载	c=4 d=1 t=5122
jia zi 	夹子	c=1 d=1 t=3519
jia zi 	架子	c=1 d=1 t=3520
jian 	见	c=1 d=1 t=143
jian 	键	c=1 d=1 t=152
jian ce 	检测	c=1 d=1 t=509
jian cha 	检查	c=4 d=1.89904 t=814
jian dan 	简单	c=3 d=1.00004 t=4337
jian di 	减低	c=2 d=1.9802 t=5956
jian guo 	见过	c=1 d=1 t=4703
jian jie de 	简洁的	c=1 d=1 t=232
jian ju 	间距	c=1 d=1 t=1164
jian kang 	健康	c=1 d=1 t=57
jian mian 	见面	c=2 d=1.98511 t=4633
jian pan 	键盘	c=1 d=1 t=5536
jian qie ban 	剪切板	c=1 d=1 t=2
jian rong 	兼容	c=1 d=1 t=464
jian ting 	监听	c=5 d=1.82697 t=5891
jian tou 	箭头	c=2 d=1.91851 t=3288
jian xie 	简写	c=2 d=1.99005 t=4218
jian yi 	建议	c=2 d=1 t=4266
jiang lai 	将来	c=1 d=1 t=2039
jiao 	叫	c=2 d=1.81465 t=845
jiao 	脚	c=1 d=1 t=3329
jiao ben 	脚本	c=2 d=1.89137 t=2486
jiao cheng 	教程	c=2 d=1.99501 t=1049
jiao gei 	交给	c=1 d=1 t=42
jiao hu 	交互	c=1 d=1 t=5190
jiao shen me 	叫什么	c=1 d=1 t=3646
jiao xin 	较新	c=2 d=1.9802 t=1840
jiao yan 	校验	c=2 d=1.15882 t=418
jie 	接	c=1 d=1 t=4618
jie 	节	c=1 d=1 t=4777
jie dian 	节点	c=2 d=1.75201 t=1476
jie duan 	阶段	c=4 d=2.0454 t=3561
jie gou 	结构	c=2 d=1.88692 t=5327
jie gou 	解构	c=7 d=3.73809 t=5326
jie guo 	结果	c=2 d=1.95607 t=2440
jie guo bu dui 	结果不对	c=1 d=1 t=1007
jie hun 	结婚	c=1 d=1 t=4754
jie jue 	解决	c=1 d=1 t=3473
jie kou 	接口	c=4 d=1.00631 t=5292
jie shi 	解释	c=4 d=1.00002 t=6272
jie shou 	接受	c=2 d=1.00039 t=3980
jie shou 	接收	c=2 d=1.00301 t=3577
jie shou dao 	接收到	c=1 d=1 t=2874
jie shu 	结束	c=1 d=1 t=4997
jie tu 	截图	c=1 d=1 t=4702
jin du 	进度	c=1 d=1 t=5199
jin du tiao 	进度条	c=2 d=1.6005 t=2086
jin lai 	进来	c=1 d=1 t=2361
jin mi 	紧密	c=2 d=1.92774 t=1366
jin ru 	浸入	c=1 d=1 t=5920
jin tian 	今天	c=8 d=1.85435 t=3407
jin wan 	今晚	c=2 d=1.00687 t=5242
jin xing 	进行	c=3 d=1 t=5567
jin yi bu 	进一步	c=1 d=1 t=5499
jin zao 	尽早	c=1 d=1 t=390
jin zhi 	进制	c=1 d=1 t=5363
jing li 	敬礼	c=1 d=1 t=3839
jing tai 	静态	c=1 d=1 t=2401
jing xiang 	镜像	c=6 d=3.57829 t=3009
jing ying 	经营	c=1 d=1 t=2808
jiu 	九	c=2 d=1 t=3565
jiu 	就	c=26 d=2.30811 t=6210
jiu de 	旧的	c=6 d=1.88695 t=6196
jiu ke yi 	就可以	c=2 d=1 t=4343
jiu shi 	就是	c=5 d=1.00861 t=4663
jiu xing 	就行	c=5 d=1.00002 t=5485
jiu xu yao 	就需要	c=1 d=1 t=2935
ju li yuan 	距离远	c=1 d=1 t=3075
ju ran 	居然	c=2 d=1.0302 t=4593
ju xing 	巨型	c=1 d=1 t=1610
ju zi 	句子	c=2 d=1.2865 t=4340
ju zuo 	居左	c=2 d=1 t=5909
jue de 	觉得	c=4 d=1.08795 t=5282
jue ding 	决定	c=1 d=1 t=5284
jue dui zhi 	绝对值	c=1 d=1 t=5865
jue jin 	掘金	c=2 d=1.76721 t=3137
ka fa 	卡发	c=1 d=1 t=1196
ka fei ji 	咖啡机	c=1 d=1 t=5914
kai fa 	开发	c=22 d=1.77747 t=6261
kai men 	开门	c=1 d=1 t=273
kai shi 	开始	c=4 d=1.00005 t=6211
kai shui 	开水	c=1 d=1 t=5935
kai yuan 	开源	c=1 d=1 t=521
kai zhe 	开着	c=2 d=1.99005 t=5809
kan 	看	c=11 d=1.07791 t=5245
kan dao 	看到	c=1 d=1 t=6020
kan de dao 	看得到	c=1 d=1 t=5986
kan dong 	看懂	c=1 d=1 t=4324
kan kan 	看看	c=10 d=1.00764 t=5801
kan lai 	看来	c=1 d=1 t=3741
kan qi lai 	看起来	c=1 d=1 t=479
kan zhe 	看着	c=2 d=1.00102 t=6056
kao 	靠	c=2 d=1 t=3677
kao de 	考得	c=1 d=1 t=3733
ke 	可	c=2 d=1.00423 t=5632
ke bu ke yi 	可不可以	c=1 d=1 t=3054
ke cheng 	课程	c=1 d=1 t=3789
ke du 	刻度	c=1 d=1 t=3077
ke du xing 	可读性	c=1 d=1 t=3584
ke hu duan 	客户端	c=4 d=2.33142 t=1093
ke ji 	科技	c=1 d=1 t=2264
ke le 	可乐	c=1 d=1 t=4896
ke neng 	可能	c=10 d=1.0234 t=5811
ke xi 	可惜	c=1 d=1 t=4894
ke xin 	可信	c=1 d=1 t=3654
ke xing 	可行	c=2 d=1.00092 t=2681
ke xuan 	可选	c=1 d=1 t=167
ke xuan zhi 	可选值	c=2 d=1.9802 t=2891
ke yi 	可以	c=33 d=1.36787 t=6290
ke yi bu ke yi 	可以不可以	c=1 d=1 t=3061
ke zhi hua 	客制化	c=1 d=1 t=4515
ken ding 	肯定	c=4 d=1.48372 t=5057
ken gen 	肯跟	c=1 d=1 t=2692
keng 	坑	c=1 d=1 t=405
kong jian 	空间	c=2 d=1.956 t=5452
kong zhi 	控制	c=10 d=1.70854 t=4835
kong zhi tai 	控制台	c=1 d=1 t=3935
kou 	口	c=1 d=1 t=6286
kou 	扣	c=1 d=1 t=6289
kou chu 	扣除	c=1 d=1 t=4232
ku 	库	c=2 d=1.91851 t=2131
ku 	酷	c=1 d=1 t=1430
kua hang 	跨行	c=1 d=1 t=1565
kuai 	快	c=7 d=1.04799 t=5511
kuai dian 	快点	c=1 d=1 t=1926
kuai su 	快速	c=1 d=1 t=3139
kuan du 	宽度	c=2 d=1.97531 t=585
kuan gao 	宽高	c=1 d=1 t=3183
kuang 	框	c=1 d=1 t=1613
kuang jia 	框架	c=3 d=1.92325 t=4549
kui 	亏	c=1 d=1 t=1458
kuo zhan 	扩展	c=2 d=1.81873 t=2141
la ba 	喇叭	c=1 d=1 t=1635
la ji 	垃圾	c=1 d=1 t=4244
la wo 	拉我	c=1 d=1 t=5200
lai 	来	c=26 d=1.14985 t=6057
lai dao 	来到	c=2 d=1 t=3806
lai kong zhi 	来控制	c=1 d=1 t=44
lai shuo 	来说	c=1 d=1 t=1103
lai zhe 	来着	c=2 d=1 t=6142
lan 	蓝	c=1 d=1 t=1508
lan hu 	蓝糊	c=3 d=1.00013 t=3423
lao ban 	老板	c=1 d=1 t=5803
lao wai 	老外	c=2 d=1.11707 t=4327
lao xiang 	老乡	c=3 d=1 t=4748
lao yuan gong 	老员工	c=1 d=1 t=5285
le 	了	c=120 d=3.80772 t=6171
lei 	类	c=6 d=2.58974 t=5138
lei ming 	类名	c=2 d=1.45841 t=5095
lei si 	类似	c=6 d=1.00045 t=6143
lei tui 	类推	c=1 d=1 t=2610
lei xing 	类型	c=5 d=1.12187 t=6282
li 	丽	c=1 d=1 t=3510
li 	离	c=1 d=1 t=3071
li 	里	c=3 d=1.46304 t=3070
li ji 	立即	c=1 d=1 t=3247
li jie 	理解	c=2 d=1 t=4307
li mao 	礼貌	c=2 d=1.28365 t=4338
li mian 	里面	c=33 d=2.12963 t=6219
li shi 	历史	c=1 d=1 t=5225
li xian 	离线	c=1 d=1 t=832
lian jie 	链接	c=6 d=1.02367 t=3908
lian xin 	莲馨	c=1 d=0.985112 t=6297
liang 	两	c=2 d=1.91851 t=4067
liang ci 	两次	c=2 d=1.92312 t=4131
liang ge 	两个	c=15 d=1.39511 t=5564
liang zhong 	两种	c=1 d=1 t=4143
liao jie 	了解	c=3 d=1.98624 t=1395
liao zhe 	聊着	c=2 d=1.99501 t=4623
lie 	列	c=2 d=1 t=5317
lie biao 	列表	c=1 d=1 t=1079
ling 	零	c=1 d=1 t=4845
ling 	领	c=1 d=1 t=3516
ling qu 	领取	c=1 d=1 t=3316
ling wai 	另外	c=2 d=1.01786 t=2451
liu cheng tu 	流程图	c=1 d=1 t=4139
liu lan qi 	浏览器	c=7 d=1.02738 t=5937
liu yi 	留意	c=1 d=1 t=1524
lu jing 	路径	c=1 d=1 t=6118
lu ru 	录入	c=1 d=1 t=1586
lu you 	路由	c=6 d=1 t=5212
lun dao 	轮到	c=1 d=1 t=4636
lun tan 	论坛	c=3 d=2.91727 t=625
luo ji 	逻辑	c=10 d=1.02746 t=6183
lv se 	绿色	c=2 d=1.00001 t=5961
ma 	吗	c=70 d=3.35439 t=6206
ma 	嘛	c=1 d=1 t=4681
ma 	妈	c=1 d=1 t=4588
ma de 	妈的	c=2 d=1.625 t=4726
ma fan 	麻烦	c=3 d=1.05191 t=3726
mai 	买	c=3 d=1.00001 t=5823
man 	慢	c=1 d=1 t=6076
man 	满	c=1 d=1 t=3690
man hua 	漫画	c=1 d=1 t=3493
mao 	毛	c=1 d=1 t=4810
mao si 	貌似	c=0 d=0.1 t=5701
mao yan 	冒烟	c=1 d=1 t=5538
mei 	没	c=9 d=1.53673 t=6013
mei ban fa 	没办法	c=1 d=1 t=3897
mei dai 	没带	c=1 d=1 t=268
mei fa 	没法	c=1 d=1 t=1900
mei ge 	每个	c=9 d=1.79629 t=3560
mei ge 	每隔	c=2 d=1.18544 t=5308
mei gui 	玫瑰	c=1 d=1 t=6156
mei hua 	美化	c=1 d=1 t=964
mei ju 	枚举	c=1 d=1 t=175
mei ju zhi 	枚举值	c=2 d=1.98511 t=5346
mei shen me 	没什么	c=1 d=1 t=6228
mei shu 	美术	c=1 d=1 t=6227
mei tiao 	每条	c=2 d=1.97045 t=5029
mei wen hua 	没文化	c=1 d=1 t=1456
mei ye 	每页	c=1 d=1 t=1513
mei yi 	每一	c=1 d=1 t=2575
mei yi ge 	每一个	c=1 d=1 t=4891
mei you 	没有	c=44 d=5.75455 t=6297
mei you sa mu 	没有萨姆	c=1 d=0.81873 t=6297
mei you wen ti 	没有问题	c=1 d=0.798517 t=6297
men kou 	门口	c=1 d=1 t=262
mi ji xing 	密集型	c=1 d=1 t=6103
mian ban 	面板	c=3 d=1.00027 t=3444
mian fei 	免费	c=2 d=1 t=5949
mian shi 	面试	c=1 d=1 t=3754
ming 	名	c=2 d=0.100007 t=4935
ming 	明	c=1 d=1 t=1333
ming 	瞑	c=2 d=1.97531 t=1340
ming bai 	明白	c=1 d=1 t=5676
ming cheng 	名称	c=5 d=1.00002 t=4943
ming ling 	命令	c=6 d=2.32596 t=2966
ming ming 	命名	c=3 d=1 t=6009
ming zi 	名字	c=2 d=0.108354 t=4604
mo 	魔	c=0 d=0.1 t=4100
mo ni 	模拟	c=1 d=1 t=2824
mo ren 	默认	c=18 d=1.40212 t=6294
mo ren ne 	魔人呢	c=2 d=1.00009 t=5972
mo ren zhi 	默认值	c=3 d=1.98914 t=2046
mo shi 	模式	c=5 d=1.87882 t=5516
mo xing 	模型	c=1 d=1 t=4382
mo yu 	摸鱼	c=2 d=1.89583 t=1459
mou ge 	某个	c=3 d=1.47513 t=2456
mou xie 	某些	c=1 d=1 t=2171
mu ban 	模板	c=6 d=1.00744 t=4240
mu lu 	目录	c=4 d=1 t=5020
mu qian 	目前	c=5 d=1.04058 t=5184
mu qin a 	母亲啊	c=1 d=1 t=5183
na 	哪	c=1 d=1 t=5051
na 	那	c=8 d=1.01557 t=5759
na bian 	那边	c=7 d=1.00521 t=4259
na bu shi 	那不是	c=1 d=1 t=4448
na dao 	拿到	c=1 d=1 t=2821
na duan 	那段	c=1 d=1 t=853
na ge 	哪个	c=2 d=1.48432 t=1811
na ge 	那个	c=38 d=2.94509 t=6066
na ge shi 	哪个是	c=1 d=1 t=1839
na jiu 	那就	c=1 d=0.292293 t=6297
na jiu shi 	那就是	c=2 d=1.94176 t=40
na jiu tai hao 	那就太好	c=1 d=0.806542 t=6297
na li 	哪里	c=4 d=1 t=6019
na li 	那里	c=6 d=1.00008 t=5745
na li ren 	哪里人	c=2 d=1.88692 t=3885
na lu you 	那路由	c=1 d=1 t=11
na me 	那么	c=1 d=1 t=722
na me da 	那么大	c=1 d=1 t=1533
na ni 	那你	c=3 d=1.002 t=1468
na qi bu shi 	那岂不是	c=1 d=1 t=5943
na wo 	那我	c=1 d=1 t=1792
na xie 	哪些	c=2 d=1 t=5695
na xie 	那些	c=4 d=1.00017 t=6037
na yi xia 	那一下	c=1 d=1 t=3326
na ying gai 	那应该	c=1 d=1 t=4929
na zhong 	那种	c=1 d=1 t=4447
nao can 	脑残	c=2 d=1.90937 t=3042
nao di 	脑低	c=1 d=1 t=6067
nao zi 	脑子	c=1 d=1 t=6070
ne 	呢	c=4 d=1.04251 t=5816
ne rong 	呢容	c=1 d=1 t=4555
nei 	内	c=2 d=1.00002 t=6137
nei hao 	内耗	c=1 d=1 t=4381
nei rong 	内容	c=9 d=1.13489 t=4556
neng 	能	c=3 d=1.00094 t=5833
neng bu neng 	能不能	c=1 d=1 t=830
ni 	你	c=36 d=2.25737 t=6017
ni dai 	你带	c=0 d=0.1 t=257
ni dai chu qu 	你带出去	c=1 d=1 t=258
ni de 	你的	c=1 d=1 t=4923
ni fang bian 	你方便	c=0 d=0.1 t=4396
ni fang bian a de 	你方便阿德	c=1 d=1 t=4397
ni hao 	你好	c=3 d=1 t=3494
ni he 	你和	c=1 d=1 t=1863
ni kan kan 	你看看	c=2 d=1.00019 t=3622
ni ke yi 	你可以	c=1 d=1 t=3301
ni men 	你们	c=3 d=1.00002 t=5899
ni na 	你那	c=1 d=1 t=1131
ni neng 	你能	c=1 d=1 t=3495
ni qu 	你去	c=1 d=1 t=255
ni xian zai 	你现在	c=1 d=1 t=4524
ni xiang 	你想	c=1 d=1 t=54
ni yao 	你要	c=1 d=1 t=3783
ni yong 	你用	c=1 d=1 t=1483
ni you 	你有	c=3 d=1.81465 t=6035
ni zai 	你在	c=2 d=1.00001 t=3813
ni zhe 	你这	c=1 d=1 t=3795
ni zhi dao 	你知道	c=1 d=1 t=3755
ni zuo 	你做	c=1 d=1 t=1460
nian 	年	c=1 d=1 t=4719
nian ling 	年龄	c=1 d=1 t=3638
nian zhong 	年终	c=3 d=2.54678 t=3743
nin 	您	c=3 d=1 t=3727
nin hao 	您好	c=1 d=1 t=2265
nong 	弄	c=1 d=1 t=873
nv de 	女的	c=1 d=1 t=4610
nv peng you 	女朋友	c=1 d=1 t=3896
o 	哦	c=7 d=2.37051 t=3458
o guo le 	哦过了	c=1 d=1 t=1550
ou 	欧	c=0 d=0.1 t=940
pai 	排	c=2 d=1.13946 t=4957
pai 	派	c=0 d=0.1 t=4539
pai chu 	排除	c=4 d=1.54811 t=2511
pai hou mian 	派后面	c=1 d=1 t=4540
pai lie 	排列	c=1 d=1 t=4981
pai xu 	排序	c=1 d=1 t=2814
pan duan 	判断	c=5 d=1.96102 t=5211
pan duan shi 	判断时	c=1 d=1 t=4098
pao yi tang 	跑一趟	c=0 d=0.1 t=3117
pao yi tang hong en 	跑一趟鸿恩	c=1 d=1 t=3118
pei ou 	配偶	c=1 d=1 t=730
pei zhi 	配置	c=9 d=1.00607 t=6291
peng dao 	碰到	c=1 d=1 t=4582
peng you quan 	朋友圈	c=1 d=1 t=4689
pi tui 	劈腿	c=1 d=1 t=4579
pian yi 	便宜	c=1 d=1 t=3545
pian yi liang 	偏移量	c=1 d=1 t=5927
piao lan 	飘蓝	c=1 d=1 t=230
piao liang 	漂亮	c=1 d=1 t=231
pin fan 	频繁	c=1 d=1 t=237
ping jun zhi 	平均值	c=1 d=1 t=5888
ping mian 	平面	c=1 d=1 t=3546
ping mu 	屏幕	c=2 d=1.00016 t=3518
ping tai 	平台	c=2 d=1.00285 t=1467
po 	破	c=1 d=0.105858 t=6267
pu tong ren 	普通人	c=0 d=0.1 t=5627
pu tong ren ne 	普通人呢	c=1 d=1 t=5628
qi 	器	c=2 d=1.01538 t=5982
qi dian 	起点	c=1 d=1 t=4958
qi dong 	启动	c=3 d=1.00141 t=5270
qi lai 	起来	c=2 d=1.03877 t=2154
qi shi 	起始	c=2 d=1.00001 t=4432
qi ta 	其他	c=6 d=1.05767 t=5044
qi ta ren 	其他人	c=2 d=1.94649 t=3763
qi ye 	企业	c=21 d=1.69034 t=5890
qi yu 	其余	c=1 d=1 t=5492
qi zhong 	七种	c=1 d=1 t=2206
qi zhong 	其中	c=1 d=1 t=4876
qian duan 	前端	c=10 d=1.43605 t=5181
qian jing se 	前景色	c=1 d=1 t=6045
qian ming 	签名	c=3 d=2.04799 t=1138
qian ren 	前任	c=1 d=1 t=5781
qian yi 	迁移	c=3 d=2.50478 t=841
qian yi dao 	迁移到	c=1 d=1 t=823
qian zhui 	前缀	c=1 d=1 t=110
qiao 	敲	c=1 d=1 t=5537
qie ge 	切割	c=2 d=1.96561 t=1025
qie huan 	切换	c=9 d=1.93118 t=5635
qing 	请	c=3 d=1.06997 t=4076
qing chu 	清楚	c=1 d=1 t=84
qing chu 	清除	c=3 d=1.90484 t=6194
qing gan 	情感	c=1 d=1 t=4575
qing kuang 	情况	c=4 d=1.00545 t=4847
qing qiu 	请求	c=3 d=1.9208 t=6204
qing qiu tou 	请求头	c=1 d=1 t=238
qu 	去	c=8 d=1.04147 t=6122
qu 	取	c=2 d=1.00124 t=4945
qu bie 	区别	c=2 d=1.00215 t=6229
qu cha zhao 	去查找	c=1 d=1 t=2496
qu chu 	去除	c=2 d=1.31506 t=6202
qu dai 	取代	c=1 d=1 t=4428
qu fen 	区分	c=5 d=1 t=6212
qu jian 	区间	c=1 d=1 t=3245
qu xiao 	取消	c=1 d=1 t=1188
qu yi ge 	取一个	c=2 d=1.98511 t=4938
qu yu 	区域	c=4 d=0.918796 t=4848
qu yu de 	区域的	c=1 d=1 t=4849
quan bu 	全部	c=11 d=2.07579 t=5357
quan bu shi 	全部是	c=1 d=1 t=4274
quan ju 	全局	c=2 d=1.41066 t=3055
quan qiu 	全球	c=3 d=2.98506 t=2365
quan xian 	权限	c=9 d=1.00011 t=6284
quan zhi 	全职	c=1 d=1 t=4756
que ding 	确定	c=2 d=1.33287 t=5415
que shao 	缺少	c=3 d=2.95551 t=4906
que shi 	确实	c=1 d=1 t=393
que xian 	缺陷	c=1 d=1 t=394
qun hui 	群晖	c=1 d=1 t=522
ran hou 	然后	c=14 d=1.23829 t=6209
rang 	让	c=6 d=1.99501 t=5547
rang ni 	让你	c=1 d=1 t=69
re 	热	c=1 d=1 t=5934
re shui 	热水	c=1 d=1 t=5932
ren 	人	c=5 d=2.79127 t=5794
ren hou 	仁厚	c=1 d=1 t=863
ren jia 	人家	c=1 d=1 t=4505
ren min 	人民	c=1 d=1 t=5012
ren ne 	人呢	c=0 d=0.1 t=4100
ren wu 	任务	c=1 d=1 t=2075
ren zhi 	认知	c=1 d=1 t=2308
ri qi 	日期	c=1 d=1 t=181
rong qi 	容器	c=1 d=1 t=2938
ru 	如	c=2 d=1.04596 t=1012
ru guo 	如果	c=17 d=1.06018 t=5677
ru he 	如何	c=47 d=1.82937 t=6251
ruan jian 	软件	c=8 d=1.84789 t=6293
rui luo 	瑞络	c=1 d=1 t=2263
sa di fang 	撒地方	c=5 d=1 t=3884
sa fen 	萨芬	c=0 d=0.0810585 t=6297
sa hou 	撒后	c=1 d=1 t=178
sa mu 	萨姆	c=0 d=0.0814647 t=6297
san 	三	c=1 d=1 t=4171
san ge 	三个	c=4 d=1.00012 t=5468
se 	色	c=3 d=1.98511 t=6050
sha hai zi 	傻孩子	c=1 d=1 t=4504
sha la 	沙拉	c=1 d=1 t=1935
sha yi si 	啥意思	c=1 d=1 t=3532
shan 	删	c=1 d=1 t=4829
shan 	衫	c=1 d=1 t=2262
shan chu 	删除	c=6 d=2.43326 t=5660
shan dian 	闪电	c=1 d=1 t=6071
shan diao 	删掉	c=1 d=1 t=2309
shang 	上	c=9 d=1.00079 t=6213
shang ban 	上班	c=1 d=1 t=476
shang de 	上的	c=1 d=0.835271 t=6297
shang hai 	上海	c=1 d=1 t=5432
shang liang 	商量	c=1 d=1 t=3208
shang mian 	上面	c=9 d=1.58915 t=4865
shang qu 	上去	c=1 d=1 t=1155
shang you 	上游	c=2 d=1.99005 t=1933
shao 	少	c=2 d=1.00005 t=2144
shao deng 	稍等	c=2 d=1.00001 t=3085
she 	蛇	c=3 d=1.00005 t=5528
she bei 	设备	c=1 d=1 t=466
she de 	舍得	c=1 d=1 t=6123
she ji 	设计	c=11 d=1.00079 t=4522
she ji gao 	设计稿	c=4 d=1 t=6150
she jiao 	社交	c=1 d=1 t=1353
she zhi 	设置	c=43 d=1.3417 t=6199
shen fen 	身份	c=1 d=1 t=49
shen he 	审核	c=2 d=1.86502 t=3875
shen me 	什么	c=38 d=2.81386 t=6297
shen qing 	申请	c=7 d=3.81138 t=4392
shen zhen 	深圳	c=1 d=1 t=4648
sheng chan 	生产	c=3 d=1.04087 t=1052
sheng cheng 	生成	c=12 d=1.9934 t=5383
sheng ji 	升级	c=2 d=1 t=4291
sheng xia 	剩下	c=1 d=1 t=1958
sheng xiao 	生效	c=1 d=1 t=607
shi 	式	c=1 d=1 t=3868
shi 	是	c=103 d=2.71824 t=6297
shi a 	是啊	c=1 d=1 t=1897
shi ba 	是吧	c=1 d=1 t=45
shi bai 	失败	c=3 d=1.07344 t=3236
shi bie 	识别	c=1 d=1 t=4375
shi bu shi 	是不是	c=4 d=1.70121 t=5806
shi cuo 	试错	c=1 d=1 t=3816
shi da fu 	士大夫	c=2 d=1.73438 t=6297
shi dan fa she 	实弹发射	c=0 d=0.0822834 t=6297
shi dan fa she dou fu 	实弹发射豆腐	c=1 d=0.826959 t=6297
shi dong fa shou fa 	是懂法守法	c=1 d=1 t=3621
shi fou 	是否	c=16 d=1.02075 t=6280
shi ge 	是个	c=2 d=1.00011 t=4609
shi he 	适合	c=1 d=1 t=2033
shi hou 	时候	c=26 d=1.52862 t=6166
shi ji 	十几	c=1 d=1 t=3701
shi jian 	事件	c=1 d=1 t=4010
shi jian 	时间	c=9 d=1.01448 t=6075
shi jian chuo 	时间戳	c=1 d=1 t=5228
shi liu 	十六	c=3 d=1.02364 t=6111
shi ming 	实名	c=1 d=1 t=3088
shi ni 	是你	c=1 d=1 t=5762
shi pei 	适配	c=7 d=1.98028 t=2201
shi pie 	是撇	c=1 d=1 t=2200
shi qing 	事情	c=2 d=1.50662 t=4587
shi shi 	试试	c=1 d=1 t=3505
shi shi kan 	试试看	c=1 d=1 t=1225
shi shi shang 	事实上	c=1 d=1 t=176
shi xi tong 	使系统	c=1 d=1 t=5526
shi xian 	实现	c=13 d=2.65169 t=6141
shi xin 	实心	c=1 d=1 t=3530
shi yong 	使用	c=36 d=3.28399 t=6295
shi yong qi 	试用期	c=2 d=1.00127 t=5829
shi zai 	实在	c=2 d=1.9802 t=2956
shi zhe yang 	是这样	c=2 d=1.00677 t=5304
shou 	手	c=2 d=1 t=3319
shou 	收	c=1 d=1 t=3320
shou bu liao 	受不了	c=1 d=1 t=5817
shou cang 	收藏	c=1 d=1 t=6155
shou chong 	手冲	c=2 d=1.94649 t=5928
shou dao 	收到	c=6 d=1.00011 t=5523
shou fa 	收发	c=1 d=1 t=809
shou ji 	手机	c=6 d=1.03109 t=3277
shou ji dao 	收集到	c=2 d=1.77492 t=2583
shou ji hao 	手机号	c=2 d=1.8825 t=1009
shou shi zhe 	受试者	c=1 d=1 t=4907
shou xu 	手续	c=1 d=1 t=2775
shu biao 	鼠标	c=1 d=1 t=508
shu chu 	输出	c=2 d=1 t=3387
shu fu 	舒服	c=1 d=1 t=5234
shu ju 	数据	c=30 d=3.18898 t=6169
shu ju ku 	数据库	c=2 d=1.00002 t=6120
shu ru 	输入	c=14 d=0.843665 t=6297
shu ru fa 	输入法	c=1 d=1 t=6297
shu xing 	属性	c=3 d=1.05287 t=5446
shu yu 	属于	c=1 d=1 t=3796
shu zhi 	数值	c=10 d=4.31743 t=5708
shu zi 	数字	c=1 d=1 t=6221
shu zu 	数组	c=9 d=1.00001 t=5376
shui 	谁	c=1 d=1 t=111
shun xu 	顺序	c=4 d=2.75212 t=2725
shuo 	说	c=11 d=1.26048 t=6011
shuo bu ding 	说不定	c=1 d=1 t=4443
shuo cheng 	说成	c=1 d=1 t=4723
shuo de 	说得	c=1 d=1 t=3749
shuo de 	说的	c=1 d=1 t=1374
shuo guo 	说过	c=1 d=1 t=4410
shuo ming qing kuang 	说明情况	c=1 d=1 t=5746
shuo qi lai 	说起来	c=1 d=1 t=4580
si 	思	c=1 d=1 t=2024
si ge 	四个	c=1 d=1 t=725
si lu 	思路	c=4 d=2.38425 t=3799
si pei 	死陪	c=1 d=1 t=2013
si wu bai 	四五百	c=1 d=1 t=511
si you 	私有	c=1 d=1 t=517
su ju 	苏剧	c=1 d=1 t=5462
su zhu 	宿主	c=1 d=1 t=5203
suan 	算	c=1 d=1 t=4708
suan fa 	算法	c=1 d=1 t=6104
